202442112001_1,202442112001,1125676837,2813737548,1,54.0,12.2,4
202442112001_2,202442112001,1760106975,2736564784,2,53.0,1.3,1
202442112001_3,202442112001,1756970414,2084571874,3,54.0,7.4,3
202442112001_4,202442112001,1148190815,2620144936,4,54.0,104.8,9
202442112001_5,202442112001,1106547537,2036822249,5,56.0,53.3,7
202442112001_6,202442112001,1732447050,2030595423,6,54.0,21.1,5
202442112001_7,202442112001,1292731946,2663770770,7,54.0,109.5,10
202442112001_8,202442112001,1100633698,2949886835,8,56.0,7.2,2
202442112001_9,202442112001,1658261599,2732959893,9,56.0,127.4,11
202442112001_10,202442112001,1128507507,2824260382,10,53.0,156.4,12
202442112001_11,202442112001,1810758156,2705128483,11,54.0,27.0,6
202442112001_12,202442112001,1002329137,2631532192,12,54.0,93.5,8
202442112002_1,202442112002,1036554764,2026704917,1,56.0,2.2,1
202442112002_2,202442112002,1811407945,2031621886,2,56.0,17.3,6
202442112002_3,202442112002,1030624592,2671865006,3,51.0,51.6,10
202442112002_4,202442112002,1243024144,2732959893,4,56.0,73.9,11
202442112002_5,202442112002,1248103891,2670509739,5,56.0,43.3,9
202442112002_6,202442112002,1216959648,2207759201,6,56.0,3.8,2
202442112002_7,202442112002,1213365052,2732510979,7,56.0,11.2,4
202442112002_8,202442112002,1275542521,2033827438,8,54.0,42.2,8
202442112002_9,202442112002,1731781906,2030595423,9,56.0,18.8,7
202442112002_10,202442112002,1023754418,2617984990,10,54.0,12.2,5
202442112002_11,202442112002,1788835238,2736564784,11,55.0,6.2,3
202442112003_1,202442112003,1101361084,2631532192,1,54.0,10.7,4
202442112003_2,202442112003,1847450572,2663770770,2,54.0,238.4,10
202442112003_3,202442112003,1486731037,2674760877,3,54.0,6.3,3
202442112003_4,202442112003,1489139443,2724967523,4,55.0,60.8,8
202442112003_5,202442112003,1681102048,2026704917,5,54.0,2.3,1
202442112003_6,202442112003,1363146841,2033827438,6,54.0,63.5,9
202442112003_7,202442112003,1588900368,2009244923,7,53.0,18.7,6
202442112003_8,202442112003,1605795877,2684577754,8,55.0,34.9,7
202442112003_9,202442112003,1561960596,2031092408,9,54.0,2.8,2
202442112003_10,202442112003,1467588933,2662215029,10,55.0,11.8,5
202442112004_1,202442112004,1141411834,2671865006,1,52.0,4.1,2
202442112004_2,202442112004,1578392935,2033827438,2,54.0,24.1,7
202442112004_3,202442112004,1489550140,2617984990,3,54.0,32.9,9
202442112004_4,202442112004,1028182876,2030595423,4,54.0,6.0,5
202442112004_5,202442112004,1376361707,2949886835,5,55.0,194.6,11
202442112004_6,202442112004,1004580538,2009244923,6,53.0,5.9,4
202442112004_7,202442112004,1801923348,2638630815,7,54.0,85.1,10
202442112004_8,202442112004,1971345244,2670509739,8,55.0,17.0,6
202442112004_9,202442112004,1866156648,2026704917,9,54.0,4.5,3
202442112004_10,202442112004,1747342547,2729019848,10,55.0,3.8,1
202442112004_11,202442112004,1341893196,2663465987,11,55.0,28.1,8
202442112005_1,202442112005,1489229647,2662215029,1,56.0,28.6,8
202442112005_2,202442112005,1624204579,2836990550,2,54.0,8.4,2
202442112005_3,202442112005,1283293601,2671865006,3,53.0,19.3,6
202442112005_4,202442112005,1240134196,2030595423,4,56.0,8.4,3
202442112005_5,202442112005,1077580096,2729019848,5,57.0,1.5,1
202442112005_6,202442112005,1548189646,2617984990,6,54.0,20.9,7
202442112005_7,202442112005,1886664640,2736564784,7,53.0,38.3,10
202442112005_8,202442112005,1648716971,2031621886,8,54.0,129.7,11
202442112005_9,202442112005,1236285231,2760025860,9,54.0,13.5,4
202442112005_10,202442112005,1288942380,2207759201,10,54.0,33.3,9
202442112005_11,202442112005,1960292786,2031092408,11,56.0,15.2,5
202442112006_1,202442112006,1134139437,2031092408,1,54.0,3.7,2
202442112006_2,202442112006,1077063737,2671865006,2,51.0,7.9,4
202442112006_3,202442112006,1360595752,2674760877,3,54.0,5.3,3
202442112006_4,202442112006,1879072211,2736564784,4,55.0,73.7,8
202442112006_5,202442112006,1621551437,2976101905,5,54.0,35.9,7
202442112006_6,202442112006,1376447245,2949886835,6,56.0,2.2,1
202442112006_7,202442112006,1234065530,2732510979,7,54.0,14.4,6
202442112006_8,202442112006,1194448031,2207759201,8,56.0,90.7,9
202442112006_9,202442112006,1662272902,2631532192,9,56.0,12.4,5
202442112007_1,202442112007,1403720030,2949886835,1,56.0,63.6,9
202442112007_2,202442112007,1519724255,2813737548,2,56.0,6.2,3
202442112007_3,202442112007,1444280827,2731207653,3,54.0,29.0,7
202442112007_4,202442112007,1077419181,2631532192,4,54.0,72.1,11
202442112007_5,202442112007,1570359880,2036822249,5,56.0,21.9,5
202442112007_6,202442112007,1281354301,2671865006,6,51.0,1.6,1
202442112007_7,202442112007,1720548355,2034526198,7,54.0,69.9,10
202442112007_8,202442112007,1447454814,2674760877,8,54.0,23.1,6
