date,race_name,race_number,venue_name,start_time,course_info,race_details,entries
"前
11/18(-)
11/19(火)
11/20(水)
11/21(木)
11/22(金)
本へ
次",C2七八九(C2八),5,浦和,14:20,ダ1500m,"8回 浦和 3日目 サラ系一般 C2八       11頭
本賞金:100.0、40.0、25.0、15.0、10.0万円",1:ナリノルル(牡4)/56.0kg/吉原寛人/内田勝義/8/28.6||2:アンブレラダンス(牝4)/54.0kg/橋本直哉/平山真希/2/8.4||3:ミカサ(牡3)/53.0kg/千野稜真/小久保智/6/19.3||4:ドローアプローズ(セ7)/56.0kg/福原杏/横山保/3/8.4||5:マインドブロン(牡3)/57.0kg/山崎誠士/秋山直之/1/1.5||6:トクシーカグヤヒメ(牝4)/54.0kg/七夕裕次/平山真希/7/20.9||7:ディアモンクール(牝3)/53.0kg/室陽一朗/工藤伸輔/10/38.3||8:マリークロード(牝5)/54.0kg/篠谷葵/林正人/11/129.7||9:エターナルジュエル(牝5)/54.0kg/御神本訓/藤原智行/4/13.5||10:ササキンポピー(牝3)/54.0kg/高橋哲也/水野貴史/9/33.3||11:ピノモラーン(牡6)/56.0kg/笹川翼/野口孝/5/15.2
"前
11/18(-)
11/19(火)
11/20(水)
11/21(木)
11/22(金)
本へ
次",C2七八九(C2八),6,浦和,14:50,ダ1500m,"8回 浦和 3日目 サラ系一般 C2八       9頭
本賞金:100.0、40.0、25.0、15.0、10.0万円",1:マチルダ(牝3)/54.0kg/笹川翼/小久保智/2/3.7||2:カリグラフィー(牝5)/51.0kg/千野稜真/入口由美/4/7.9||3:イエローベル(牝3)/54.0kg/和田譲治/小久保智/3/5.3||4:ウインプロヴァンス(牡5)/55.0kg/室陽一朗/工藤伸輔/8/73.7||5:キスアンドテル(牝5)/54.0kg/笠野雄大/海馬澤司/7/35.9||6:ビップライアン(牡3)/56.0kg/秋元耕成/藪口一麻/1/2.2||7:スイフトマリー(牝5)/54.0kg/岡村健司/酒井一則/6/14.4||8:エターナルジェイド(牡4)/56.0kg/高橋哲也/水野貴史/9/90.7||9:ネオアンコーラ(牡5)/56.0kg/保園翔也/川島豊/5/12.4
"前
11/18(-)
11/19(火)
11/20(水)
11/21(木)
11/22(金)
本へ
次",埼玉県畜産懇話会長賞(C2八),7,浦和,15:25,ダ1400m,"8回 浦和 3日目 サラ系一般 C2八       11頭
本賞金:100.0、40.0、25.0、15.0、10.0万円",1:ソブリンルーラー(セ4)/56.0kg/秋元耕成/藪口一麻/9/63.6||2:イスラデルノルテ(牡4)/56.0kg/本橋孝太/野口寛仁/3/6.2||3:カネトシアンカー(牝3)/54.0kg/山林堂信/佐々木仁/7/29.0||4:クインズミラ(牝3)/54.0kg/保園翔也/長谷川忍/11/72.1||5:ユイノパチョレック(牡3)/56.0kg/野畑凌/工藤伸輔/5/21.9||6:テンロ(牝3)/51.0kg/千野稜真/小久保智/1/1.6||7:フリアンディーズ(牝3)/54.0kg/西啓太/伊藤滋規/10/69.9||8:シルバーペコ(牝5)/54.0kg/和田譲治/酒井一則/6/23.1||9:レジーナデッラネラ(牝3)/54.0kg/福原杏/宇野木博/4/10.0||10:タツノキセキ(牡4)/55.0kg/佐野遥久/秋山直之/2/5.6||11:リュウノリエゾン(牝3)/54.0kg/見越彬央/鹿沼良和/8/43.3
"前
11/18(-)
11/19(火)
11/20(水)
11/21(木)
11/22(金)
本へ
次",埼玉県養鶏協会長賞特別(C2),8,浦和,16:00,ダ1400m,"8回 浦和 3日目 サラ系一般 C2       11頭
本賞金:150.0、60.0、37.5、22.5、15.0万円",1:シェヴロンケリー(牝5)/52.0kg/中島良美/小澤宏次/10/213.2||2:ローゼシュティア(牝5)/54.0kg/保園翔也/野口孝/9/129.1||3:ユウユウプルニーマ(牝3)/54.0kg/吉留孝司/横山保/8/127.7||4:マイネルグローリエ(牡5)/56.0kg/笠野雄大/石井勝男/6/68.6||5:ビコーズウイキャン(牡3)/56.0kg/福原杏/長谷川忍/4/30.5||6:ロードオブイサチル(牝7)/54.0kg/町田直希/宇野木博/5/54.7||7:アムレート(牝4)/54.0kg/和田譲治/小久保智/2/4.8||8:エーテルノカゼ(牝4)/54.0kg/池谷匠翔/岩本洋/11/240.3||9:ヴァンクールシチー(牡5)/56.0kg/半澤慶実/工藤伸輔/7/91.7||10:アルヴァレス(牡3)/56.0kg/森泰斗/小澤宏次/1/1.1||11:ユッカラン(牝3)/54.0kg/加藤和博/藪口一麻/3/27.8
"前
11/18(-)
11/19(火)
11/20(水)
11/21(木)
11/22(金)
本へ
次",埼玉県畜産会長賞特別(B3C1),9,浦和,16:35,ダ800m,"8回 浦和 3日目 サラ系一般 B3C1       8頭
本賞金:300.0、120.0、75.0、45.0、30.0万円",1:サンタアナテソーロ(牝4)/55.0kg/秋元耕成/内野健二/7/43.1||2:クラッチタイム(牝3)/53.0kg/笠野雄大/岩崎真樹/4/8.4||3:リュウノアスラーム(牝4)/55.0kg/野澤憲彦/斉藤敏/3/8.1||4:シェナブライト(牡6)/55.0kg/吉留孝司/吉田正美/6/28.8||5:ハクサンクラーケン(牡6)/57.0kg/山中悠希/矢野義幸/5/12.7||6:エリコーハク(牝4)/55.0kg/落合玄太/水野貴史/2/2.7||7:セイウンシデン(牡5)/57.0kg/国分祐仁/吉田正美/8/95.3||8:キューティロメラ(牝4)/55.0kg/福原杏/繁田健一/1/2.0
"前
11/18(-)
11/19(火)
11/20(水)
11/21(木)
11/22(金)
本へ
次",全国植樹祭開催200日前記念賞特別(B2B3),10,浦和,17:10,ダ1500m,"8回 浦和 3日目 サラ系一般 B2B3       12頭
本賞金:350.0、140.0、87.5、52.5、35.0万円",1:プレストルーチェ(セ7)/57.0kg/山中悠希/小澤宏次/4/6.7||2:ピノホホッア(牡4)/57.0kg/内田利雄/野口孝/8/34.0||3:エナジーポコアポコ(牡4)/57.0kg/笹川翼/繁田健一/2/3.9||4:ハピネスマインド(牝6)/53.0kg/澤田龍哉/田中力/7/26.5||5:トライファン(牡5)/55.0kg/福原杏/小久保智/11/50.1||6:アイスヴィスタ(牝7)/53.0kg/町田直希/繁田健一/9/34.0||7:ワンモアエフォート(牡7)/57.0kg/庄司大輔/石井勝男/12/69.1||8:アンジュレイ(牝5)/53.0kg/野畑凌/小久保智/3/5.0||9:グランギフト(牡7)/57.0kg/今野忠成/山崎尋美/10/47.9||10:プラズマ(牡3)/55.0kg/山口達弥/林正人/1/3.5||11:サブリュウシン(牡4)/55.0kg/岡村健司/平山真希/6/13.7||12:ガウリシャンカール(牡3)/54.0kg/木間塚龍/矢野義幸/5/7.5
"前
11/18(-)
11/19(火)
11/20(水)
11/21(木)
11/22(金)
本へ
次",浦和記念[指定交流] Jpn2,11,浦和,17:45,ダ2000m,"8回 浦和 3日目 サラ系３歳以上 3上       11頭
本賞金:4000.0、1400.0、800.0、400.0、200.0万円",1:ディアセオリー(牡7)/56.0kg/千野稜真/小久保智/11/595.6||2:メイショウフンジン(牡6)/56.0kg/酒井学/西園正都/6/40.0||3:スリーヘリオス(セ9)/56.0kg/松戸政也/井樋一也/8/317.6||4:ナニハサテオキ(牡5)/56.0kg/森泰斗/平山真希/3/6.4||5:サヨノグローリー(牡6)/56.0kg/本橋孝太/工藤伸輔/9/340.3||6:アイブランコ(牡7)/56.0kg/和田譲治/鹿沼良和/7/264.7||7:アウトレンジ(牡4)/56.0kg/Ｃ．デム/大久保龍/2/3.5||8:ディクテオン(セ6)/57.0kg/横山和生/吉岡辰弥/1/1.4||9:ダイシンピスケス(牡6)/56.0kg/笹川翼/森秀行/5/35.5||10:ライトウォーリア(牡7)/58.0kg/吉原寛人/内田勝義/4/14.5||11:オウケンムーン(牡9)/56.0kg/見越彬央/井樋明正/10/433.1
"前
11/18(-)
11/19(火)
11/20(水)
11/21(木)
11/22(金)
本へ
次",埼玉県肉用牛経営者協会長賞特別(C1),12,浦和,18:20,ダ800m,"8回 浦和 3日目 サラ系一般 C1       11頭
本賞金:180.0、72.0、45.0、27.0、18.0万円",1:サノノレインボー(牝3)/54.0kg/見越彬央/川島豊/9/25.2||2:ビナミトー(牝3)/54.0kg/岡村健司/酒井一則/2/5.7||3:ルッキズム(牝3)/54.0kg/半澤慶実/入口由美/10/26.8||4:オニバ(牡3)/56.0kg/菅原涼太/藤原智行/11/40.8||5:ゴープラチナム(牝7)/54.0kg/張田昂/平山真希/4/6.7||6:キョウエイカリーナ(牝4)/54.0kg/秋元耕成/小澤宏次/7/12.7||7:シェナクラウン(牡4)/56.0kg/吉留孝司/冨田敏男/8/14.5||8:ラヴィンツァラ(牝7)/54.0kg/橋本直哉/平山真希/1/3.3||9:ソーヴキプ(牝4)/54.0kg/山口達弥/渋谷信博/6/9.5||10:ジェネシスミザール(牡3)/56.0kg/仲野光馬/伊藤滋規/3/6.4||11:エコロウォーリア(牡4)/56.0kg/西啓太/川村守男/5/8.8
3歳二,1,202442112001,浦和,12:20,ダ1400m,"8回 浦和 3日目 サラ系３歳 3歳       12頭
本賞金:180.0、72.0、45.0、27.0、18.0万円","[{'horse_number': '1', 'horse_name': 'ポウナム', 'sex_age': '牝3', 'weight': '54.0', 'jockey_name': '本橋孝太', 'trainer_name': '林正人', 'odds': '12.2', 'popularity': '4'}, {'horse_number': '2', 'horse_name': 'リアリータイト', 'sex_age': '牝3', 'weight': '53.0', 'jockey_name': '室陽一朗', 'trainer_name': '箕輪武', 'odds': '1.3', 'popularity': '1'}, {'horse_number': '3', 'horse_name': 'ジョーサルーテ', 'sex_age': '牝3', 'weight': '54.0', 'jockey_name': '見越彬央', 'trainer_name': '小久保智', 'odds': '7.4', 'popularity': '3'}, {'horse_number': '4', 'horse_name': 'マーチオブタイム', 'sex_age': '牡3', 'weight': '54.0', 'jockey_name': '中島良美', 'trainer_name': '酒井一則', 'odds': '104.8', 'popularity': '9'}, {'horse_number': '5', 'horse_name': 'ピノヌイ', 'sex_age': '牡3', 'weight': '56.0', 'jockey_name': '野畑凌', 'trainer_name': '野口孝', 'odds': '53.3', 'popularity': '7'}, {'horse_number': '6', 'horse_name': 'キミニメロメロ', 'sex_age': '牝3', 'weight': '54.0', 'jockey_name': '福原杏', 'trainer_name': '吉田正美', 'odds': '21.1', 'popularity': '5'}, {'horse_number': '7', 'horse_name': 'ソルトミル', 'sex_age': '牝3', 'weight': '54.0', 'jockey_name': '加藤和博', 'trainer_name': '入口由美', 'odds': '109.5', 'popularity': '10'}, {'horse_number': '8', 'horse_name': 'ボールドチャー', 'sex_age': '牡3', 'weight': '56.0', 'jockey_name': '秋元耕成', 'trainer_name': '宇野木博', 'odds': '7.2', 'popularity': '2'}, {'horse_number': '9', 'horse_name': 'ベニノレーヴ', 'sex_age': '牡3', 'weight': '56.0', 'jockey_name': '岡村裕基', 'trainer_name': '八木仁', 'odds': '127.4', 'popularity': '11'}, {'horse_number': '10', 'horse_name': 'プロンプトノア', 'sex_age': '牝3', 'weight': '53.0', 'jockey_name': '木間塚龍', 'trainer_name': '佐々木仁', 'odds': '156.4', 'popularity': '12'}, {'horse_number': '11', 'horse_name': 'アムールベル', 'sex_age': '牝3', 'weight': '54.0', 'jockey_name': '増田充宏', 'trainer_name': '村田順一', 'odds': '27.0', 'popularity': '6'}, {'horse_number': '12', 'horse_name': 'コギャル', 'sex_age': '牝3', 'weight': '54.0', 'jockey_name': '保園翔也', 'trainer_name': '長谷川忍', 'odds': '93.5', 'popularity': '8'}]"
ランチタイムチャレンジ(C3),2,202442112002,浦和,12:50,ダ1400m,"8回 浦和 3日目 サラ系一般 C3       11頭
本賞金:80.0、32.0、20.0、12.0、8.0万円","[{'horse_number': '1', 'horse_name': 'エクスプロア', 'sex_age': '牡5', 'weight': '56.0', 'jockey_name': '森泰斗', 'trainer_name': '野口寛仁', 'odds': '2.2', 'popularity': '1'}, {'horse_number': '2', 'horse_name': 'アイアンオー', 'sex_age': '牡4', 'weight': '56.0', 'jockey_name': '篠谷葵', 'trainer_name': '海馬澤司', 'odds': '17.3', 'popularity': '6'}, {'horse_number': '3', 'horse_name': 'ゴールドバニー', 'sex_age': '牝4', 'weight': '51.0', 'jockey_name': '千野稜真', 'trainer_name': '野口孝', 'odds': '51.6', 'popularity': '10'}, {'horse_number': '4', 'horse_name': 'フミタツビックボス', 'sex_age': '牡4', 'weight': '56.0', 'jockey_name': '岡村裕基', 'trainer_name': '久保勇', 'odds': '73.9', 'popularity': '11'}, {'horse_number': '5', 'horse_name': 'ドーバーファルコン', 'sex_age': 'セ4', 'weight': '56.0', 'jockey_name': '吉留孝司', 'trainer_name': '海馬澤司', 'odds': '43.3', 'popularity': '9'}, {'horse_number': '6', 'horse_name': 'フリュート', 'sex_age': 'セ8', 'weight': '56.0', 'jockey_name': '高橋哲也', 'trainer_name': '水野貴史', 'odds': '3.8', 'popularity': '2'}, {'horse_number': '7', 'horse_name': 'ケリードラゴン', 'sex_age': 'セ7', 'weight': '56.0', 'jockey_name': '岡村健司', 'trainer_name': '斉藤敏', 'odds': '11.2', 'popularity': '4'}, {'horse_number': '8', 'horse_name': 'マーヒナヒナ', 'sex_age': '牝4', 'weight': '54.0', 'jockey_name': '藤江渉', 'trainer_name': '酒井一則', 'odds': '42.2', 'popularity': '8'}, {'horse_number': '9', 'horse_name': 'モズマスターピース', 'sex_age': '牡4', 'weight': '56.0', 'jockey_name': '福原杏', 'trainer_name': '横山保', 'odds': '18.8', 'popularity': '7'}, {'horse_number': '10', 'horse_name': 'ナリタアンビション', 'sex_age': '牝4', 'weight': '54.0', 'jockey_name': '七夕裕次', 'trainer_name': '川島豊', 'odds': '12.2', 'popularity': '5'}, {'horse_number': '11', 'horse_name': 'ニシノテンカフブ', 'sex_age': '牡4', 'weight': '55.0', 'jockey_name': '室陽一朗', 'trainer_name': '吉田正美', 'odds': '6.2', 'popularity': '3'}]"
2歳五,3,202442112003,浦和,13:20,ダ1400m,"8回 浦和 3日目 サラ系２歳 2歳       10頭
本賞金:260.0、104.0、65.0、39.0、26.0万円","[{'horse_number': '1', 'horse_name': 'スタークイック', 'sex_age': '牝2', 'weight': '54.0', 'jockey_name': '保園翔也', 'trainer_name': '小澤宏次', 'odds': '10.7', 'popularity': '4'}, {'horse_number': '2', 'horse_name': 'キョウエイバジル', 'sex_age': '牝2', 'weight': '54.0', 'jockey_name': '加藤和博', 'trainer_name': '川島豊', 'odds': '238.4', 'popularity': '10'}, {'horse_number': '3', 'horse_name': 'コウユーミューミュ', 'sex_age': '牝2', 'weight': '54.0', 'jockey_name': '和田譲治', 'trainer_name': '宇野木博', 'odds': '6.3', 'popularity': '3'}, {'horse_number': '4', 'horse_name': 'オリエンタルマック', 'sex_age': '牡2', 'weight': '55.0', 'jockey_name': '實川純一', 'trainer_name': '佐々木功', 'odds': '60.8', 'popularity': '8'}, {'horse_number': '5', 'horse_name': 'レッドディア', 'sex_age': '牝2', 'weight': '54.0', 'jockey_name': '森泰斗', 'trainer_name': '小久保智', 'odds': '2.3', 'popularity': '1'}, {'horse_number': '6', 'horse_name': 'ハーシュミストレス', 'sex_age': '牝2', 'weight': '54.0', 'jockey_name': '藤江渉', 'trainer_name': '酒井一則', 'odds': '63.5', 'popularity': '9'}, {'horse_number': '7', 'horse_name': 'ブラックアスラーダ', 'sex_age': '牡2', 'weight': '53.0', 'jockey_name': 'Ｍ．ミシ', 'trainer_name': '箕輪武', 'odds': '18.7', 'popularity': '6'}, {'horse_number': '8', 'horse_name': 'シェナアップル', 'sex_age': '牡2', 'weight': '55.0', 'jockey_name': '国分祐仁', 'trainer_name': '冨田敏男', 'odds': '34.9', 'popularity': '7'}, {'horse_number': '9', 'horse_name': 'ティナバローズ', 'sex_age': '牝2', 'weight': '54.0', 'jockey_name': '笹川翼', 'trainer_name': '繁田健一', 'odds': '2.8', 'popularity': '2'}, {'horse_number': '10', 'horse_name': 'セオリーセンス', 'sex_age': '牡2', 'weight': '55.0', 'jockey_name': '吉原寛人', 'trainer_name': '野口寛仁', 'odds': '11.8', 'popularity': '5'}]"
