202411202050101,3歳二,2024-11-20,12:20,8回浦和3日目,205,1,2024,NULL,NULL,NULL,1400,ダート,左,曇,NULL,良,2024-11-21 14:59:15,ダ左1400m / 天候 : 曇 / ダート : 良 / 発走 : 12:20
202411202050102,ランチタイムチャレン(C3),2024-11-20,12:50,8回浦和3日目,205,2,2024,NULL,NULL,NULL,1400,ダート,左,曇,NULL,良,2024-11-21 14:59:15,ダ左1400m / 天候 : 曇 / ダート : 良 / 発走 : 12:50
202411202050103,2歳五,2024-11-20,13:20,8回浦和3日目,205,3,2024,NULL,NULL,NULL,1400,ダート,左,曇,NULL,良,2024-11-21 14:59:15,ダ左1400m / 天候 : 曇 / ダート : 良 / 発走 : 13:20
202411202050104,2歳四,2024-11-20,13:50,8回浦和3日目,205,4,2024,NULL,NULL,NULL,1400,ダート,左,曇,NULL,良,2024-11-21 14:59:15,ダ左1400m / 天候 : 曇 / ダート : 良 / 発走 : 13:50
202411202050105,C2七　八九(C2八),2024-11-20,14:20,8回浦和3日目,205,5,2024,NULL,NULL,NULL,1500,ダート,左,曇,NULL,良,2024-11-21 14:59:15,ダ左1500m / 天候 : 曇 / ダート : 良 / 発走 : 14:20
202411202050106,C2七　八九(C2八),2024-11-20,14:50,8回浦和3日目,205,6,2024,NULL,NULL,NULL,1500,ダート,左,曇,NULL,良,2024-11-21 14:59:15,ダ左1500m / 天候 : 曇 / ダート : 良 / 発走 : 14:50
202411202050107,埼玉県畜産懇話会長賞(C2八),2024-11-20,15:25,8回浦和3日目,205,7,2024,NULL,NULL,NULL,1400,ダート,左,曇,NULL,良,2024-11-21 14:59:15,ダ左1400m / 天候 : 曇 / ダート : 良 / 発走 : 15:25
202411202050108,埼玉県養鶏協会長賞特(C2),2024-11-20,16:00,8回浦和3日目,205,8,2024,NULL,NULL,NULL,1400,ダート,左,曇,NULL,良,2024-11-21 14:59:15,ダ左1400m / 天候 : 曇 / ダート : 良 / 発走 : 16:00
202411202050109,埼玉県畜産会長賞特別(B3C1),2024-11-20,16:35,8回浦和3日目 (ハンデ),205,9,2024,NULL,NULL,NULL,800,ダート,左,曇,NULL,良,2024-11-21 14:59:15,ダ左800m / 天候 : 曇 / ダート : 良 / 発走 : 16:35
202411202050110,全国植樹祭開催200(B2B3),2024-11-20,17:10,8回浦和3日目 (ハンデ),205,10,2024,NULL,NULL,NULL,1500,ダート,左,雨,NULL,良,2024-11-21 14:59:15,ダ左1500m / 天候 : 雨 / ダート : 良 / 発走 : 17:10
202411202050111,第45回浦和記念[指定交流](JpnII),2024-11-20,17:45,8回浦和3日目 (別定),205,11,2024,NULL,NULL,NULL,2000,ダート,左,雨,NULL,稍重,2024-11-21 14:59:15,ダ左2000m / 天候 : 雨 / ダート : 稍重 / 発走 : 17:45
