20244211200101,202442112001,1125676837,2813737548,1,1,54.0,12.2,4
20244211200102,202442112001,1760106975,2736564784,1,2,53.0,1.3,1
20244211200103,202442112001,1756970414,2084571874,2,3,54.0,7.4,3
20244211200104,202442112001,1148190815,2620144936,2,4,54.0,104.8,9
20244211200105,202442112001,1106547537,2036822249,3,5,56.0,53.3,7
20244211200106,202442112001,1732447050,2030595423,3,6,54.0,21.1,5
20244211200107,202442112001,1292731946,2663770770,4,7,54.0,109.5,10
20244211200108,202442112001,1100633698,2949886835,4,8,56.0,7.2,2
20244211200109,202442112001,1658261599,2732959893,5,9,56.0,127.4,11
20244211200110,202442112001,1128507507,2824260382,5,10,53.0,156.4,12
20244211200111,202442112001,1810758156,2705128483,6,11,54.0,27.0,6
20244211200112,202442112001,1002329137,2631532192,6,12,54.0,93.5,8
20244211200201,202442112002,1036554764,2026704917,1,1,56.0,2.2,1
20244211200202,202442112002,1811407945,2031621886,1,2,56.0,17.3,6
20244211200203,202442112002,1030624592,2671865006,2,3,51.0,51.6,10
20244211200204,202442112002,1243024144,2732959893,2,4,56.0,73.9,11
20244211200205,202442112002,1248103891,2670509739,3,5,56.0,43.3,9
20244211200206,202442112002,1216959648,2207759201,3,6,56.0,3.8,2
20244211200207,202442112002,1213365052,2732510979,4,7,56.0,11.2,4
20244211200208,202442112002,1275542521,2033827438,4,8,54.0,42.2,8
20244211200209,202442112002,1731781906,2030595423,5,9,56.0,18.8,7
20244211200210,202442112002,1023754418,2617984990,5,10,54.0,12.2,5
20244211200211,202442112002,1788835238,2736564784,6,11,55.0,6.2,3
20244211200301,202442112003,1101361084,2631532192,1,1,54.0,10.7,4
20244211200302,202442112003,1847450572,2663770770,1,2,54.0,238.4,10
20244211200303,202442112003,1486731037,2674760877,2,3,54.0,6.3,3
20244211200304,202442112003,1489139443,2724967523,2,4,55.0,60.8,8
20244211200305,202442112003,1681102048,2026704917,3,5,54.0,2.3,1
20244211200306,202442112003,1363146841,2033827438,3,6,54.0,63.5,9
20244211200307,202442112003,1588900368,2009244923,4,7,53.0,18.7,6
20244211200308,202442112003,1605795877,2684577754,4,8,55.0,34.9,7
20244211200309,202442112003,1561960596,2031092408,5,9,54.0,2.8,2
20244211200310,202442112003,1467588933,2662215029,5,10,55.0,11.8,5
20244211200401,202442112004,1141411834,2671865006,1,1,52.0,4.1,2
20244211200402,202442112004,1578392935,2033827438,1,2,54.0,24.1,7
20244211200403,202442112004,1489550140,2617984990,2,3,54.0,32.9,9
20244211200404,202442112004,1028182876,2030595423,2,4,54.0,6.0,5
20244211200405,202442112004,1376361707,2949886835,3,5,55.0,194.6,11
20244211200406,202442112004,1004580538,2009244923,3,6,53.0,5.9,4
20244211200407,202442112004,1801923348,2638630815,4,7,54.0,85.1,10
20244211200408,202442112004,1971345244,2670509739,4,8,55.0,17.0,6
20244211200409,202442112004,1866156648,2026704917,5,9,54.0,4.5,3
20244211200410,202442112004,1747342547,2729019848,5,10,55.0,3.8,1
20244211200411,202442112004,1341893196,2663465987,6,11,55.0,28.1,8
20244211200501,202442112005,1489229647,2662215029,1,1,56.0,28.6,8
20244211200502,202442112005,1624204579,2836990550,1,2,54.0,8.4,2
20244211200503,202442112005,1283293601,2671865006,2,3,53.0,19.3,6
20244211200504,202442112005,1240134196,2030595423,2,4,56.0,8.4,3
20244211200505,202442112005,1077580096,2729019848,3,5,57.0,1.5,1
20244211200506,202442112005,1548189646,2617984990,3,6,54.0,20.9,7
20244211200507,202442112005,1886664640,2736564784,4,7,53.0,38.3,10
20244211200508,202442112005,1648716971,2031621886,4,8,54.0,129.7,11
20244211200509,202442112005,1236285231,2760025860,5,9,54.0,13.5,4
20244211200510,202442112005,1288942380,2207759201,5,10,54.0,33.3,9
20244211200511,202442112005,1960292786,2031092408,6,11,56.0,15.2,5
20244211200601,202442112006,1134139437,2031092408,1,1,54.0,3.7,2
20244211200602,202442112006,1077063737,2671865006,1,2,51.0,7.9,4
20244211200603,202442112006,1360595752,2674760877,2,3,54.0,5.3,3
20244211200604,202442112006,1879072211,2736564784,2,4,55.0,73.7,8
20244211200605,202442112006,1621551437,2976101905,3,5,54.0,35.9,7
20244211200606,202442112006,1376447245,2949886835,3,6,56.0,2.2,1
20244211200607,202442112006,1234065530,2732510979,4,7,54.0,14.4,6
20244211200608,202442112006,1194448031,2207759201,4,8,56.0,90.7,9
20244211200609,202442112006,1662272902,2631532192,5,9,56.0,12.4,5
20244211200701,202442112007,1403720030,2949886835,1,1,56.0,63.6,9
20244211200702,202442112007,1519724255,2813737548,1,2,56.0,6.2,3
20244211200703,202442112007,1444280827,2731207653,2,3,54.0,29.0,7
20244211200704,202442112007,1077419181,2631532192,2,4,54.0,72.1,11
20244211200705,202442112007,1570359880,2036822249,3,5,56.0,21.9,5
20244211200706,202442112007,1281354301,2671865006,3,6,51.0,1.6,1
20244211200707,202442112007,1720548355,2034526198,4,7,54.0,69.9,10
